"Year","Segment","SegmentLabel","Category","per_100km"
2016,"albany-esperance","Albany–Esperance","Cow-calf pairs",11.6546363024701
2016,"albany-esperance","Albany–Esperance","Unaccompanied",7.14316418538489
2016,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",16.9200560706382
2016,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",14.4439503042033
2017,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
2017,"albany-augusta","Augusta–Albany","Unaccompanied",4.29350153463932
2017,"albany-esperance","Albany–Esperance","Cow-calf pairs",14.4743063756483
2017,"albany-esperance","Albany–Esperance","Unaccompanied",5.26338413659939
2017,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",25.999110547566
2017,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",24.7610576643485
2018,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.43116717821311
2018,"albany-augusta","Augusta–Albany","Unaccompanied",5.4384352772098
2018,"albany-esperance","Albany–Esperance","Cow-calf pairs",15.038240390284
2018,"albany-esperance","Albany–Esperance","Unaccompanied",9.58687824880604
2018,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",19.6025039842759
2018,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",16.5073717762324
2018,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",11.0117839798943
2018,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",9.88813255337445
2019,"albany-augusta","Augusta–Albany","Cow-calf pairs",1.14493374257049
2019,"albany-augusta","Augusta–Albany","Unaccompanied",4.0072680989967
2019,"albany-esperance","Albany–Esperance","Cow-calf pairs",14.2863283707698
2019,"albany-esperance","Albany–Esperance","Unaccompanied",7.70709820002054
2019,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",13.2058974209859
2019,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",15.062976745812
2019,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",8.65211598420264
2019,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",2.24730285303965
2020,"albany-esperance","Albany–Esperance","Cow-calf pairs",9.96283425856314
2020,"albany-esperance","Albany–Esperance","Unaccompanied",3.94753810244955
2020,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",10.3171073601452
2020,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",5.57123797447842
2021,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
